VehicleNumber,Line,Brigade,Stop,DiffTime,DiffDist,BusLat,BusLon
1001,219,1,2386_04,42,0.004760347443971414,52.213613,21.1114571
1001,219,1,2421_02,47,0.005209393598087965,52.2175141,21.1090093
1001,219,1,2400_02,38,0.005645576038019015,52.2212556,21.1066001
1001,219,1,2148_04,8,0.002569329770472483,52.222806,21.1022806
1001,219,1,2148_05,8,0.0027159416632714256,52.2223558,21.1026546
1001,219,1,2039_10,2438,0.005924244486921943,52.2052308,21.1652946
1001,219,1,2194_01,13,0.007545282565917849,52.1897563,21.1407945
1001,219,1,2414_02,13,0.004926563936772106,52.1842726,21.1732151
1001,219,1,2174_01,768,0.0043745263115900195,52.1842198,21.176108
1001,219,1,2174_02,3,0.0076948906536919975,52.1841841,21.1779501
1001,219,1,2175_02,13,0.006230792808507086,52.1841093,21.1842978
1001,219,1,2043_04,228,0.009970179481108751,52.1839626,21.187861
1004,225,503,2220_02,7,0.004473245322614088,52.2764708,21.1679435
1004,225,503,2220_05,2,0.0012179333179657091,52.2767741,21.1691386
1004,225,503,2095_01,5,0.003765879628694913,52.2746266,21.162293
1004,225,503,2094_01,2,0.005410706777766139,52.2733193,21.1583121
1004,225,503,2146_04,1701,0.006473663022759049,52.2255968,21.092869
1004,225,503,2148_04,702,0.008235725226287181,52.2227883,21.1024365
1032,163,01,3044_03,28,0.00885458894685288,52.167652,21.083973
1032,163,01,3152_02,3171,0.006524035388050313,52.179489,21.101862
1032,163,01,3083_01,2356,0.004781867909218602,52.182602,21.077618
1032,163,01,3066_03,2162,0.008006034717527255,52.179649,21.072573
1032,163,01,3033_03,936,0.009786165649984968,52.182304,21.056688
1032,163,01,3094_06,226,0.009812008782694233,52.178284,21.049025
1055,207,2,4216_03,1,0.007854308685477665,52.20034,20.892895
1055,207,2,4099_03,891,0.0030808537559994013,52.1884133,20.88411
1055,207,2,4130_02,10,0.004572799358598597,52.1833317,20.8704517
1062,192,1,3140_03,3216,0.006430340412458528,52.142666,21.045868
1062,192,1,3013_03,55,0.009668634823878688,52.152374,21.019369
1062,192,1,3133_01,19,0.0069632685262948964,52.150841,21.027494
1062,192,1,3134_01,50,0.004215082612092712,52.150105,21.033794
1062,192,1,3137_01,56,0.004640213255941053,52.1550762,21.0422727
1062,192,1,3138_04,94,0.009788335329578806,52.1509207,21.0470917
1112,169,4,1028_07,0,0.0037211926294208574,52.252879,21.051673
1112,169,4,1003_02,0,0.004554366127444396,52.255273,21.034558
1112,169,4,1142_01,2839,0.008310684154787838,52.270463,21.041536
1112,169,4,1150_02,1038,0.007742364805337163,52.296076,21.032901
1112,169,4,1153_03,758,0.0034966386091892037,52.296156,21.041443
1112,169,4,1152_06,278,0.009927636209896012,52.300161,21.041904
1118,338,05,1043_01,9,0.005523951032225525,52.2606208,21.1005806
1118,338,05,1042_01,5,0.0014717119675617036,52.2604678,21.0945965
1118,338,05,1040_01,4,0.007642596012322555,52.2604656,21.083974
1118,338,05,1047_01,27,0.005176835554093962,52.2673418,21.071905
1118,338,05,1045_01,20,0.0023089433873360967,52.2637181,21.063245
1118,338,05,1160_02,2080,0.009429999363009745,52.2613116,21.0541451
1118,338,05,1034_01,5,0.0034996619741556006,52.259762,21.0528263
